cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 2, 0, 0, 0.01, 2, 2
2, 1, 1, 0, 0, 0.009999, 3, 1.5
3, 2, 1, 0, 0, 0.009998, 4, 1.33333
4, 4, 1, 1, 0, 0.009997, 5, 1.25
5, 4, 4, 1, 0, 0.009996, 9, 1.8
6, 1, 3, 0, 0, 0.009995, 12, 2
7, 0, 1, 0, 0, 0.009994, 13, 1.85714
8, 2, 1, 1, 0, 0.009993, 14, 1.75
9, 2, 0, 0, 0, 0.009992, 14, 1.55556
10, 3, 1, 1, 0, 0.009991, 15, 1.5
11, 5, 0, 0, 0, 0.00999, 15, 1.36364
12, 4, 1, 0, 0, 0.00998901, 16, 1.33333
13, 2, 3, 0, 0, 0.00998801, 19, 1.46154
14, 2, 1, 1, 0, 0.00998701, 20, 1.42857
15, 3, 3, 0, 0, 0.00998601, 23, 1.53333
16, 2, 1, 0, 0, 0.00998501, 24, 1.5
17, 0, 1, 0, 0, 0.00998401, 25, 1.47059
18, 3, 1, 0, 0, 0.00998301, 26, 1.44444
19, 0, 1, 1, 0, 0.00998202, 27, 1.42105
20, 0, 0, 1, 0, 0.00998102, 27, 1.35
21, 0, 3, 1, 0, 0.00998002, 30, 1.42857
22, 0, 3, 1, 0, 0.00997902, 33, 1.5
23, 0, 3, 1, 0, 0.00997802, 36, 1.56522
24, 0, 0, 0, 0, 0.00997703, 36, 1.5
25, 0, 1, 1, 0, 0.00997603, 37, 1.48
26, 3, 3, 1, 0, 0.00997503, 40, 1.53846
27, 2, 0, 1, 0, 0.00997403, 40, 1.48148
28, 2, 3, 0, 0, 0.00997304, 43, 1.53571
29, 0, 1, 0, 0, 0.00997204, 44, 1.51724
30, 0, 1, 1, 0, 0.00997104, 45, 1.5
31, 2, 0, 0, 0, 0.00997004, 45, 1.45161
32, 2, 1, 1, 1, 0.00996905, 46, 1.4375
33, 2, 3, 1, 0, 0.00996805, 49, 1.48485
34, 2, 3, 0, 0, 0.00996705, 52, 1.52941
35, 1, 3, 1, 0, 0.00996606, 55, 1.57143
36, 2, 0, 0, 0, 0.00996506, 55, 1.52778
37, 2, 1, 0, 0, 0.00996406, 56, 1.51351
38, 3, 3, 1, 0, 0.00996307, 59, 1.55263
39, 2, 4, 1, 0, 0.00996207, 63, 1.61538
40, 4, 3, 1, 0, 0.00996107, 66, 1.65
41, 4, 3, 0, 0, 0.00996008, 69, 1.68293
42, 2, 3, 0, 0, 0.00995908, 72, 1.71429
43, 0, 3, 0, 0, 0.00995809, 75, 1.74419
44, 0, 1, 0, 0, 0.00995709, 76, 1.72727
45, 0, 1, 1, 0, 0.00995609, 77, 1.71111
46, 3, 0, 0, 0, 0.0099551, 77, 1.67391
47, 2, 1, 1, 0, 0.0099541, 78, 1.65957
48, 4, 3, 1, 0, 0.00995311, 81, 1.6875
49, 0, 4, 0, 0, 0.00995211, 85, 1.73469
50, 4, 1, 0, 0, 0.00995112, 86, 1.72
51, 2, 3, 1, 0, 0.00995012, 89, 1.7451
52, 0, 3, 1, 0, 0.00994913, 92, 1.76923
53, 2, 3, 0, 0, 0.00994813, 95, 1.79245
54, 2, 3, 1, 0, 0.00994714, 98, 1.81481
55, 1, 0, 1, 0, 0.00994614, 98, 1.78182
56, 0, 0, 1, 0, 0.00994515, 98, 1.75
57, 4, 0, 0, 0, 0.00994415, 98, 1.7193
58, 0, 3, 1, 0, 0.00994316, 101, 1.74138
59, 2, 0, 0, 0, 0.00994216, 101, 1.71186
60, 3, 3, 1, 0, 0.00994117, 104, 1.73333
61, 0, 4, 0, 0, 0.00994018, 108, 1.77049
62, 0, 1, 0, 0, 0.00993918, 109, 1.75806
63, 5, 1, 0, 0, 0.00993819, 110, 1.74603
64, 4, 1, 0, 0, 0.00993719, 111, 1.73438
65, 0, 3, 1, 0, 0.0099362, 114, 1.75385
66, 3, 0, 0, 0, 0.00993521, 114, 1.72727
67, 0, 1, 1, 0, 0.00993421, 115, 1.71642
68, 2, 3, 1, 0, 0.00993322, 118, 1.73529
69, 0, 0, 0, 0, 0.00993223, 118, 1.71014
70, 5, 1, 1, 0, 0.00993123, 119, 1.7
71, 2, 4, 0, 0, 0.00993024, 123, 1.73239
72, 2, 3, 1, 0, 0.00992925, 126, 1.75
73, 0, 3, 1, 0, 0.00992826, 129, 1.76712
74, 3, 0, 0, 0, 0.00992726, 129, 1.74324
75, 2, 1, 0, 0, 0.00992627, 130, 1.73333
76, 4, 1, 0, 0, 0.00992528, 131, 1.72368
77, 0, 3, 0, 0, 0.00992428, 134, 1.74026
78, 3, 1, 0, 0, 0.00992329, 135, 1.73077
79, 4, 1, 0, 0, 0.0099223, 136, 1.72152
80, 4, 3, 0, 0, 0.00992131, 139, 1.7375
81, 2, 3, 0, 0, 0.00992032, 142, 1.75309
82, 4, 1, 0, 0, 0.00991932, 143, 1.7439
83, 4, 3, 1, 0, 0.00991833, 146, 1.75904
84, 4, 3, 1, 0, 0.00991734, 149, 1.77381
85, 3, 3, 0, 0, 0.00991635, 152, 1.78824
86, 2, 1, 1, 0, 0.00991536, 153, 1.77907
87, 0, 0, 0, 0, 0.00991436, 153, 1.75862
88, 4, 1, 1, 0, 0.00991337, 154, 1.75
89, 2, 3, 1, 0, 0.00991238, 157, 1.76404
90, 0, 3, 1, 0, 0.00991139, 160, 1.77778
91, 2, 0, 0, 0, 0.0099104, 160, 1.75824
92, 0, 3, 1, 0, 0.00990941, 163, 1.77174
93, 4, 3, 1, 0, 0.00990842, 166, 1.78495
94, 4, 3, 0, 0, 0.00990743, 169, 1.79787
95, 0, 3, 0, 0, 0.00990644, 172, 1.81053
96, 0, 1, 1, 0, 0.00990545, 173, 1.80208
97, 0, 0, 0, 0, 0.00990445, 173, 1.78351
98, 4, 1, 1, 1, 0.00990346, 174, 1.77551
99, 0, 3, 1, 0, 0.00990247, 177, 1.78788
100, 0, 3, 1, 0, 0.00990148, 180, 1.8
101, 0, 0, 1, 0, 0.00990049, 180, 1.78218
102, 1, 0, 0, 0, 0.0098995, 180, 1.76471
103, 0, 1, 0, 0, 0.00989851, 181, 1.75728
104, 0, 1, 1, 0, 0.00989752, 182, 1.75
105, 4, 0, 1, 0, 0.00989653, 182, 1.73333
106, 4, 3, 0, 0, 0.00989554, 185, 1.74528
107, 4, 3, 1, 0, 0.00989455, 188, 1.75701
108, 4, 3, 0, 0, 0.00989357, 191, 1.76852
109, 4, 3, 1, 0, 0.00989258, 194, 1.77982
110, 0, 3, 0, 0, 0.00989159, 197, 1.79091
111, 4, 1, 1, 0, 0.0098906, 198, 1.78378
112, 4, 4, 0, 0, 0.00988961, 202, 1.80357
113, 2, 3, 0, 0, 0.00988862, 205, 1.81416
114, 0, 1, 1, 0, 0.00988763, 206, 1.80702
115, 4, 0, 0, 0, 0.00988664, 206, 1.7913
116, 5, 3, 0, 0, 0.00988565, 209, 1.80172
117, 4, 1, 1, 0, 0.00988466, 210, 1.79487
118, 4, 3, 0, 0, 0.00988368, 213, 1.80508
119, 2, 3, 0, 0, 0.00988269, 216, 1.81513
120, 1, 1, 0, 0, 0.0098817, 217, 1.80833
121, 0, 1, 0, 0, 0.00988071, 218, 1.80165
122, 0, 1, 1, 0, 0.00987972, 219, 1.79508
123, 4, 3, 1, 0, 0.00987874, 222, 1.80488
124, 4, 3, 1, 0, 0.00987775, 225, 1.81452
125, 2, 4, 0, 0, 0.00987676, 229, 1.832
126, 0, 3, 1, 0, 0.00987577, 232, 1.84127
127, 1, 3, 1, 0, 0.00987478, 235, 1.85039
128, 4, 0, 1, 0, 0.0098738, 235, 1.83594
129, 2, 3, 0, 0, 0.00987281, 238, 1.84496
130, 2, 3, 0, 0, 0.00987182, 241, 1.85385
131, 4, 1, 1, 0, 0.00987083, 242, 1.84733
132, 2, 4, 1, 0, 0.00986985, 246, 1.86364
133, 0, 0, 1, 0, 0.00986886, 246, 1.84962
134, 1, 0, 0, 0, 0.00986787, 246, 1.83582
135, 3, 1, 0, 0, 0.00986689, 247, 1.82963
136, 0, 1, 1, 0, 0.0098659, 248, 1.82353
137, 3, 3, 1, 0, 0.00986491, 251, 1.83212
138, 2, 0, 0, 0, 0.00986393, 251, 1.81884
139, 2, 1, 1, 0, 0.00986294, 252, 1.81295
140, 0, 3, 1, 0, 0.00986195, 255, 1.82143
141, 2, 0, 0, 0, 0.00986097, 255, 1.80851
142, 4, 3, 1, 0, 0.00985998, 258, 1.8169
143, 1, 4, 1, 0, 0.009859, 262, 1.83217
144, 0, 0, 1, 0, 0.00985801, 262, 1.81944
145, 4, 0, 1, 0, 0.00985702, 262, 1.8069
146, 4, 3, 1, 0, 0.00985604, 265, 1.81507
147, 0, 4, 1, 0, 0.00985505, 269, 1.82993
148, 4, 0, 0, 0, 0.00985407, 269, 1.81757
149, 2, 3, 0, 0, 0.00985308, 272, 1.8255
150, 0, 3, 0, 0, 0.0098521, 275, 1.83333
151, 4, 1, 0, 0, 0.00985111, 276, 1.82781
152, 4, 3, 1, 0, 0.00985013, 279, 1.83553
153, 0, 3, 1, 1, 0.00984914, 282, 1.84314
154, 3, 3, 0, 0, 0.00984816, 285, 1.85065
155, 0, 1, 1, 0, 0.00984717, 286, 1.84516
156, 1, 0, 0, 0, 0.00984619, 286, 1.83333
157, 0, 1, 1, 0, 0.0098452, 287, 1.82803
158, 4, 3, 1, 0, 0.00984422, 290, 1.83544
159, 0, 4, 1, 0, 0.00984323, 294, 1.84906
160, 2, 0, 1, 0, 0.00984225, 294, 1.8375
161, 2, 0, 0, 0, 0.00984127, 294, 1.82609
162, 2, 1, 0, 0, 0.00984028, 295, 1.82099
163, 0, 3, 0, 0, 0.0098393, 298, 1.82822
164, 2, 1, 1, 0, 0.00983831, 299, 1.82317
165, 4, 0, 1, 0, 0.00983733, 299, 1.81212
166, 3, 3, 0, 0, 0.00983635, 302, 1.81928
167, 2, 1, 1, 0, 0.00983536, 303, 1.81437
168, 2, 3, 0, 0, 0.00983438, 306, 1.82143
169, 5, 3, 0, 0, 0.0098334, 309, 1.8284
170, 2, 1, 1, 0, 0.00983241, 310, 1.82353
171, 0, 3, 1, 0, 0.00983143, 313, 1.83041
172, 3, 3, 0, 0, 0.00983045, 316, 1.83721
173, 4, 1, 0, 0, 0.00982946, 317, 1.83237
174, 2, 3, 0, 0, 0.00982848, 320, 1.83908
175, 4, 1, 0, 0, 0.0098275, 321, 1.83429
176, 1, 3, 0, 0, 0.00982651, 324, 1.84091
177, 2, 1, 0, 0, 0.00982553, 325, 1.83616
178, 2, 3, 0, 0, 0.00982455, 328, 1.8427
179, 0, 3, 0, 0, 0.00982357, 331, 1.84916
180, 4, 1, 0, 0, 0.00982258, 332, 1.84444
181, 0, 3, 1, 0, 0.0098216, 335, 1.85083
182, 2, 0, 0, 0, 0.00982062, 335, 1.84066
183, 2, 1, 0, 0, 0.00981964, 336, 1.83607
184, 4, 1, 0, 0, 0.00981866, 337, 1.83152
185, 4, 3, 0, 0, 0.00981767, 340, 1.83784
186, 1, 3, 0, 0, 0.00981669, 343, 1.84409
187, 4, 1, 0, 0, 0.00981571, 344, 1.83957
188, 0, 3, 1, 0, 0.00981473, 347, 1.84574
189, 0, 3, 0, 0, 0.00981375, 350, 1.85185
190, 3, 1, 0, 0, 0.00981277, 351, 1.84737
191, 3, 1, 0, 0, 0.00981178, 352, 1.84293
192, 3, 1, 0, 0, 0.0098108, 353, 1.83854
193, 4, 1, 0, 0, 0.00980982, 354, 1.8342
194, 4, 3, 0, 0, 0.00980884, 357, 1.84021
195, 3, 3, 0, 0, 0.00980786, 360, 1.84615
196, 1, 1, 0, 0, 0.00980688, 361, 1.84184
197, 3, 1, 0, 0, 0.0098059, 362, 1.83756
198, 4, 1, 0, 0, 0.00980492, 363, 1.83333
199, 0, 3, 0, 0, 0.00980394, 366, 1.8392
200, 4, 1, 0, 0, 0.00980296, 367, 1.835
201, 1, 3, 0, 0, 0.00980198, 370, 1.8408
202, 3, 1, 0, 0, 0.009801, 371, 1.83663
203, 1, 1, 1, 0, 0.00980002, 372, 1.83251
204, 3, 0, 0, 0, 0.00979904, 372, 1.82353
205, 0, 1, 0, 0, 0.00979806, 373, 1.81951
206, 4, 1, 0, 0, 0.00979708, 374, 1.81553
207, 2, 3, 1, 0, 0.0097961, 377, 1.82126
208, 2, 3, 0, 0, 0.00979512, 380, 1.82692
209, 3, 3, 0, 0, 0.00979414, 383, 1.83254
210, 4, 1, 0, 0, 0.00979316, 384, 1.82857
211, 0, 3, 0, 0, 0.00979218, 387, 1.83412
212, 2, 1, 0, 0, 0.0097912, 388, 1.83019
213, 4, 3, 0, 0, 0.00979022, 391, 1.83568
214, 3, 3, 0, 0, 0.00978924, 394, 1.84112
215, 3, 1, 0, 0, 0.00978826, 395, 1.83721
216, 2, 1, 0, 0, 0.00978728, 396, 1.83333
217, 0, 3, 1, 0, 0.00978631, 399, 1.83871
218, 0, 0, 0, 0, 0.00978533, 399, 1.83028
219, 2, 1, 0, 0, 0.00978435, 400, 1.82648
220, 4, 3, 0, 0, 0.00978337, 403, 1.83182
221, 3, 3, 0, 0, 0.00978239, 406, 1.8371
222, 5, 1, 1, 0, 0.00978141, 407, 1.83333
223, 4, 4, 0, 0, 0.00978044, 411, 1.84305
224, 4, 3, 0, 0, 0.00977946, 414, 1.84821
225, 0, 3, 0, 0, 0.00977848, 417, 1.85333
226, 3, 1, 0, 0, 0.0097775, 418, 1.84956
227, 2, 1, 1, 0, 0.00977652, 419, 1.84581
228, 0, 3, 0, 0, 0.00977555, 422, 1.85088
229, 0, 1, 1, 0, 0.00977457, 423, 1.84716
230, 4, 3, 0, 0, 0.00977359, 426, 1.85217
231, 4, 3, 0, 0, 0.00977261, 429, 1.85714
232, 0, 3, 0, 0, 0.00977164, 432, 1.86207
233, 2, 1, 0, 0, 0.00977066, 433, 1.85837
234, 3, 1, 0, 0, 0.00976968, 434, 1.8547
235, 4, 1, 0, 0, 0.00976871, 435, 1.85106
236, 2, 3, 0, 0, 0.00976773, 438, 1.85593
237, 2, 3, 0, 0, 0.00976675, 441, 1.86076
238, 0, 3, 1, 0, 0.00976577, 444, 1.86555
239, 2, 3, 0, 0, 0.0097648, 447, 1.87029
240, 2, 1, 1, 1, 0.00976382, 448, 1.86667
241, 0, 3, 0, 0, 0.00976285, 451, 1.87137
242, 0, 1, 0, 0, 0.00976187, 452, 1.86777
243, 2, 1, 0, 0, 0.00976089, 453, 1.8642
244, 4, 3, 0, 0, 0.00975992, 456, 1.86885
245, 4, 3, 0, 0, 0.00975894, 459, 1.87347
246, 2, 3, 0, 0, 0.00975796, 462, 1.87805
247, 2, 1, 0, 0, 0.00975699, 463, 1.87449
248, 4, 1, 0, 0, 0.00975601, 464, 1.87097
249, 4, 3, 0, 0, 0.00975504, 467, 1.8755
250, 0, 3, 0, 0, 0.00975406, 470, 1.88
251, 2, 1, 1, 0, 0.00975309, 471, 1.87649
252, 4, 3, 0, 0, 0.00975211, 474, 1.88095
253, 2, 3, 0, 0, 0.00975114, 477, 1.88538
254, 3, 3, 0, 0, 0.00975016, 480, 1.88976
255, 0, 1, 0, 0, 0.00974919, 481, 1.88627
256, 4, 1, 0, 0, 0.00974821, 482, 1.88281
257, 4, 3, 0, 0, 0.00974724, 485, 1.88716
258, 4, 3, 1, 0, 0.00974626, 488, 1.89147
259, 4, 3, 0, 0, 0.00974529, 491, 1.89575
260, 4, 3, 0, 0, 0.00974431, 494, 1.9
261, 5, 3, 0, 0, 0.00974334, 497, 1.90421
262, 0, 1, 0, 0, 0.00974236, 498, 1.90076
263, 0, 1, 0, 0, 0.00974139, 499, 1.89734
264, 0, 1, 0, 0, 0.00974042, 500, 1.89394
265, 4, 1, 0, 0, 0.00973944, 501, 1.89057
266, 3, 3, 1, 0, 0.00973847, 504, 1.89474
267, 5, 0, 1, 0, 0.00973749, 504, 1.88764
268, 2, 4, 1, 0, 0.00973652, 508, 1.89552
269, 5, 3, 0, 0, 0.00973555, 511, 1.89963
270, 3, 1, 0, 0, 0.00973457, 512, 1.8963
271, 3, 1, 1, 0, 0.0097336, 513, 1.89299
272, 4, 0, 0, 0, 0.00973263, 513, 1.88603
273, 4, 3, 0, 0, 0.00973165, 516, 1.89011
274, 0, 3, 1, 0, 0.00973068, 519, 1.89416
275, 4, 0, 0, 0, 0.00972971, 519, 1.88727
276, 2, 3, 0, 0, 0.00972873, 522, 1.8913
277, 0, 3, 0, 0, 0.00972776, 525, 1.89531
278, 0, 1, 0, 0, 0.00972679, 526, 1.89209
279, 3, 1, 0, 0, 0.00972582, 527, 1.88889
280, 3, 1, 0, 0, 0.00972484, 528, 1.88571
281, 2, 1, 0, 0, 0.00972387, 529, 1.88256
282, 2, 1, 0, 0, 0.0097229, 530, 1.87943
283, 5, 3, 1, 0, 0.00972193, 533, 1.88339
284, 0, 4, 0, 0, 0.00972095, 537, 1.89085
285, 0, 1, 1, 0, 0.00971998, 538, 1.88772
286, 4, 0, 0, 0, 0.00971901, 538, 1.88112
287, 1, 3, 1, 0, 0.00971804, 541, 1.88502
288, 0, 0, 0, 0, 0.00971707, 541, 1.87847
289, 0, 1, 1, 0, 0.00971609, 542, 1.87543
290, 0, 0, 0, 0, 0.00971512, 542, 1.86897
291, 1, 1, 0, 0, 0.00971415, 543, 1.86598
292, 2, 1, 0, 0, 0.00971318, 544, 1.86301
293, 1, 3, 1, 0, 0.00971221, 547, 1.86689
294, 0, 0, 1, 0, 0.00971124, 547, 1.86054
295, 4, 3, 0, 0, 0.00971027, 550, 1.86441
296, 0, 3, 0, 0, 0.00970929, 553, 1.86824
297, 4, 1, 0, 0, 0.00970832, 554, 1.86532
298, 4, 3, 0, 0, 0.00970735, 557, 1.86913
