cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 2570, 61, 3, 0, 0.01, 61, 61
2, 2574, 60, 3, 0, 0.0099999, 121, 60.5
3, 2570, 70, 0, 0, 0.0099998, 191, 63.6667
4, 2570, 51, 0, 0, 0.0099997, 242, 60.5
5, 2570, 51, 0, 0, 0.0099996, 293, 58.6
6, 2570, 51, 0, 0, 0.0099995, 344, 57.3333
7, 2570, 51, 3, 0, 0.0099994, 395, 56.4286
8, 11, 60, 2, 0, 0.0099993, 455, 56.875
9, 11, 51, 3, 0, 0.0099992, 506, 56.2222
10, 2570, 60, 3, 0, 0.0099991, 566, 56.6
11, 2575, 60, 1, 0, 0.009999, 626, 56.9091
12, 2570, 60, 0, 0, 0.0099989, 686, 57.1667
13, 2570, 51, 1, 0, 0.0099988, 737, 56.6923
14, 11, 60, 3, 0, 0.0099987, 797, 56.9286
15, 2570, 60, 3, 0, 0.0099986, 857, 57.1333
16, 2575, 60, 3, 0, 0.0099985, 917, 57.3125
17, 2570, 70, 2, 0, 0.0099984, 987, 58.0588
18, 2570, 51, 2, 0, 0.0099983, 1038, 57.6667
19, 2570, 51, 2, 0, 0.0099982, 1089, 57.3158
20, 2570, 51, 2, 0, 0.0099981, 1140, 57
21, 2570, 51, 0, 0, 0.009998, 1191, 56.7143
22, 2570, 51, 2, 0, 0.0099979, 1242, 56.4545
23, 2570, 51, 2, 0, 0.0099978, 1293, 56.2174
24, 2570, 51, 2, 0, 0.0099977, 1344, 56
25, 2570, 51, 3, 0, 0.0099976, 1395, 55.8
26, 2570, 60, 0, 0, 0.0099975, 1455, 55.9615
27, 2570, 51, 1, 0, 0.0099974, 1506, 55.7778
28, 2570, 60, 1, 0, 0.0099973, 1566, 55.9286
29, 2575, 60, 2, 0, 0.0099972, 1626, 56.069
30, 2565, 70, 0, 0, 0.0099971, 1696, 56.5333
31, 2575, 60, 0, 0, 0.009997, 1756, 56.6452
32, 5, 60, 1, 0, 0.0099969, 1816, 56.75
33, 5, 51, 0, 0, 0.0099968, 1867, 56.5758
34, 5, 60, 2, 0, 0.0099967, 1927, 56.6765
35, 5, 60, 2, 0, 0.0099966, 1987, 56.7714
36, 2575, 60, 3, 0, 0.0099965, 2047, 56.8611
37, 2570, 60, 2, 0, 0.0099964, 2107, 56.9459
38, 2570, 51, 0, 0, 0.0099963, 2158, 56.7895
39, 2570, 51, 3, 0, 0.0099962, 2209, 56.641
40, 2570, 60, 1, 0, 0.0099961, 2269, 56.725
41, 2570, 60, 2, 0, 0.009996, 2329, 56.8049
42, 10762, 51, 1, 0, 0.0099959, 2380, 56.6667
43, 10767, 60, 3, 0, 0.0099958, 2440, 56.7442
44, 10762, 60, 2, 0, 0.0099957, 2500, 56.8182
