cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 2, 100, 2, 0, 0.01, 100, 100
2, 1, 99, 2, 0, 0.009999, 199, 99.5
3, 1, 99, 2, 0, 0.009998, 298, 99.3333
4, 1, 99, 1, 0, 0.009997, 397, 99.25
5, 2, 0, 1, 0, 0.009996, 397, 79.4
6, 2, 0, 0, 0, 0.009995, 397, 66.1667
7, 2, 110, 0, 0, 0.009994, 507, 72.4286
8, 2, 110, 2, 0, 0.009993, 617, 77.125
9, 0, 99, 2, 0, 0.009992, 716, 79.5556
10, 0, 99, 0, 0, 0.009991, 815, 81.5
11, 2, 0, 2, 0, 0.00999, 815, 74.0909
12, 1, 99, 2, 0, 0.00998901, 914, 76.1667
13, 1, 99, 1, 0, 0.00998801, 1013, 77.9231
14, 2, 0, 0, 1, 0.00998701, 1013, 72.3571
15, 2, 0, 2, 0, 0.00998601, 1013, 67.5333
16, 1, 99, 2, 0, 0.00998501, 1112, 69.5
17, 0, 99, 0, 0, 0.00998401, 1211, 71.2353
18, 2, 0, 1, 0, 0.00998301, 1211, 67.2778
19, 2, 110, 0, 0, 0.00998202, 1321, 69.5263
20, 2, 110, 1, 0, 0.00998102, 1431, 71.55
21, 2, 110, 2, 0, 0.00998002, 1541, 73.381
22, 0, 99, 0, 0, 0.00997902, 1640, 74.5455
23, 2, 0, 0, 0, 0.00997802, 1640, 71.3043
24, 2, 0, 2, 0, 0.00997703, 1640, 68.3333
25, 0, 99, 2, 0, 0.00997603, 1739, 69.56
26, 0, 99, 0, 0, 0.00997503, 1838, 70.6923
27, 2, 0, 1, 0, 0.00997403, 1838, 68.0741
28, 2, 110, 2, 0, 0.00997304, 1948, 69.5714
29, 1, 99, 2, 0, 0.00997204, 2047, 70.5862
30, 1, 99, 2, 0, 0.00997104, 2146, 71.5333
31, 0, 99, 2, 0, 0.00997004, 2245, 72.4194
32, 1, 99, 2, 0, 0.00996905, 2344, 73.25
33, 1, 99, 2, 0, 0.00996805, 2443, 74.0303
34, 1, 99, 2, 0, 0.00996705, 2542, 74.7647
35, 0, 99, 2, 0, 0.00996606, 2641, 75.4571
36, 1, 99, 2, 0, 0.00996506, 2740, 76.1111
37, 1, 99, 2, 0, 0.00996406, 2839, 76.7297
38, 1, 99, 2, 0, 0.00996307, 2938, 77.3158
39, 0, 99, 2, 0, 0.00996207, 3037, 77.8718
40, 1, 99, 2, 0, 0.00996107, 3136, 78.4
41, 1, 99, 2, 0, 0.00996008, 3235, 78.9024
42, 1, 99, 2, 0, 0.00995908, 3334, 79.381
43, 1, 99, 2, 0, 0.00995809, 3433, 79.8372
44, 1, 99, 2, 0, 0.00995709, 3532, 80.2727
45, 0, 99, 2, 0, 0.00995609, 3631, 80.6889
46, 1, 99, 2, 0, 0.0099551, 3730, 81.087
47, 1, 99, 2, 0, 0.0099541, 3829, 81.4681
48, 1, 99, 2, 0, 0.00995311, 3928, 81.8333
49, 1, 99, 2, 0, 0.00995211, 4027, 82.1837
50, 1, 99, 2, 0, 0.00995112, 4126, 82.52
51, 1, 99, 2, 0, 0.00995012, 4225, 82.8431
52, 1, 99, 2, 0, 0.00994913, 4324, 83.1538
53, 0, 99, 2, 0, 0.00994813, 4423, 83.4528
54, 1, 99, 2, 0, 0.00994714, 4522, 83.7407
55, 1, 99, 2, 0, 0.00994614, 4621, 84.0182
56, 0, 99, 1, 0, 0.00994515, 4720, 84.2857
57, 2, 0, 1, 0, 0.00994415, 4720, 82.807
58, 2, 110, 2, 0, 0.00994316, 4830, 83.2759
59, 1, 99, 2, 0, 0.00994216, 4929, 83.5424
60, 0, 99, 2, 0, 0.00994117, 5028, 83.8
61, 1, 99, 2, 0, 0.00994018, 5127, 84.0492
62, 1, 99, 2, 0, 0.00993918, 5226, 84.2903
63, 0, 99, 2, 0, 0.00993819, 5325, 84.5238
64, 0, 99, 2, 0, 0.00993719, 5424, 84.75
65, 1, 99, 2, 0, 0.0099362, 5523, 84.9692
66, 1, 99, 2, 0, 0.00993521, 5622, 85.1818
67, 0, 99, 2, 0, 0.00993421, 5721, 85.3881
