cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 2, 0, 0.1, 1, 1
2, 2, 1, 1, 0, 0.099, 2, 1
3, 2, 2, 0, 0, 0.09801, 4, 1.33333
4, 2, 0, 2, 0, 0.0970299, 4, 1
5, 1, 0, 0, 1, 0.0960596, 4, 0.8
6, 1, 2, 0, 0, 0.095099, 6, 1
7, 2, 0, 0, 0, 0.094148, 6, 0.857143
8, 1, 2, 0, 0, 0.0932065, 8, 1
9, 2, 0, 1, 1, 0.0922745, 8, 0.888889
10, 0, 0, 1, 1, 0.0913517, 8, 0.8
11, 0, 0, 0, 0, 0.0904382, 8, 0.727273
12, 0, 1, 2, 0, 0.0895338, 9, 0.75
13, 1, 0, 1, 0, 0.0886385, 9, 0.692308
14, 2, 2, 1, 0, 0.0877521, 11, 0.785714
15, 2, 2, 1, 0, 0.0868746, 13, 0.866667
16, 1, 1, 0, 0, 0.0860058, 14, 0.875
17, 1, 2, 1, 0, 0.0851458, 16, 0.941176
18, 1, 1, 1, 0, 0.0842943, 17, 0.944444
19, 1, 1, 1, 0, 0.0834514, 18, 0.947368
20, 1, 1, 1, 0, 0.0826169, 19, 0.95
21, 2, 2, 1, 0, 0.0817907, 21, 1
22, 2, 2, 0, 0, 0.0809728, 23, 1.04545
23, 1, 2, 1, 0, 0.0801631, 25, 1.08696
24, 0, 0, 1, 0, 0.0793614, 25, 1.04167
25, 0, 0, 1, 0, 0.0785678, 25, 1
26, 0, 0, 0, 0, 0.0777821, 25, 0.961538
27, 0, 1, 1, 0, 0.0770043, 26, 0.962963
28, 1, 1, 1, 0, 0.0762343, 27, 0.964286
29, 0, 0, 1, 0, 0.0754719, 27, 0.931034
30, 0, 0, 1, 0, 0.0747172, 27, 0.9
31, 0, 0, 0, 0, 0.07397, 27, 0.870968
32, 0, 1, 1, 0, 0.0732303, 28, 0.875
33, 1, 1, 2, 0, 0.072498, 29, 0.878788
34, 2, 1, 1, 0, 0.0717731, 30, 0.882353
35, 2, 2, 1, 0, 0.0710553, 32, 0.914286
36, 2, 2, 2, 0, 0.0703448, 34, 0.944444
37, 0, 2, 0, 0, 0.0696413, 36, 0.972973
38, 2, 0, 1, 0, 0.0689449, 36, 0.947368
39, 1, 1, 1, 0, 0.0682555, 37, 0.948718
40, 0, 0, 2, 0, 0.0675729, 37, 0.925
41, 0, 2, 2, 0, 0.0668972, 39, 0.95122
42, 2, 1, 2, 0, 0.0662282, 40, 0.952381
43, 0, 2, 2, 0, 0.0655659, 42, 0.976744
44, 0, 2, 1, 0, 0.0649103, 44, 1
45, 1, 1, 0, 0, 0.0642612, 45, 1
46, 0, 1, 1, 0, 0.0636185, 46, 1
47, 0, 0, 1, 0, 0.0629824, 46, 0.978723
48, 0, 0, 0, 0, 0.0623525, 46, 0.958333
49, 0, 1, 2, 0, 0.061729, 47, 0.959184
50, 2, 1, 1, 0, 0.0611117, 48, 0.96
51, 1, 1, 0, 1, 0.0605006, 49, 0.960784
52, 2, 0, 1, 0, 0.0598956, 49, 0.942308
